name;symptom1;symptom2;symptom3;symptom4;symptom5;symptom6;symptom7;symptom8;symptom9;symptom10;context;incidence;prevalence;medicalHistory
Infection alimentaire;Diarrhée (2|aigue);Fièvre (1);Douleur abdominale (2/0);Nausées (2);Vomissements (2);Sang dans les selles (2);;;;;Aliments à risque / Cas dans l'entourage;15000;;
Grippe;Malaise général (1);Fièvre (1);Frissons (1);Fatigue (1);Toux sèche (3);Nez qui coule (6/5);Mal à la gorge (6/4);Mal de tête (6|diffus);Douleurs articulaires diffuses (1);Douleurs musculaires diffuses (1);Epidémie / Cas dans l'entourage;2500000;;
Hépatite aigue;Coloration jaune (10);Urines foncées ou troubles (11);Selles décolorées (2);Fièvre (1);Fatigue (1);Douleur abdominale (2/1);;;;;Rapport sexuel à risque / Voyage / Exposition sang;3500;;
VIH;Fièvre (1);Ganglions (1);Eruption cutanée diffuse (10);Douleurs musculaires diffuses (1);Diarrhée (2);Fatigue (1);;;;;Rapport sexuel à risque / Exposition sang;7000;;
Hypertension artérielle ;Mal de tête (6|diffus);Acouphènes (12);Saignement de nez (6/5);;;;;;;;;;31,00 %;
Dyslipidémie;Dépôt jaune pâle palpébral (6/13);Infiltrat cutané jaunâtre (10);;;;;;;;;Surpoids;;40,00 %;
Artériopathie oblitérante des membres inférieurs;Douleur membres inférieurs à l'effort (7);Douleurs nocturnes de repos membres inférieurs (7);Impuissance (11);Peau froide (7);;;;;;;Tabac;180000;;
Insuffisance Veineuse / Varices;Jambes lourdes (7);Crampes (7);Nécessité de mouvement (7);Varices (7);Oedèmes le soir (7);Douleur le long d'un trajet veineux (7);Troubles cutanés (7);;;;Surpoids / Travail debout / Femme;;41,00 %;
Bronchite aïgue;Toux sèche (3);Toux sèche puis humide (3);Crachats lors de la toux (3);Fièvre (1);;;;;;;Epidémie / Tabagisme / Rhinopharyngite récente;10000000;;
Pneumopathie aïgue;Toux (3);Difficultés à respirer (3);Douleur thoracique (3);Crachats lors de la toux (3);Fièvre (1);Frissons (1);;;;;;500000;;
